art_id,doc_id,type_of_relation
0CB5F9A5_13,0CB5F9A5,mencion_reglamento
0CB5F9A5_15,0CB5F9A5,mencion_reglamento
0CB5F9A5_38,0CB5F9A5,mencion_reglamento
99BF2672_2,99BF2672,mencion_reglamento
99BF2672_128,99BF2672,mencion_reglamento
99BF2672_129,99BF2672,mencion_reglamento
99BF2672_134,99BF2672,mencion_reglamento
99BF2672_146,99BF2672,mencion_reglamento
D26A0A36_15,D26A0A36,mencion_reglamento
D26A0A36_35,D26A0A36,mencion_reglamento
D26A0A36_37,D26A0A36,mencion_reglamento
D26A0A36_39,D26A0A36,mencion_reglamento
D26A0A36_41,D26A0A36,mencion_reglamento
D26A0A36_42,D26A0A36,mencion_reglamento
D26A0A36_59BIS,D26A0A36,mencion_reglamento
C898E859_4,C898E859,mencion_reglamento
1AE432AF_3,1AE432AF,mencion_reglamento
1AE432AF_3,1AE432AF,mencion_reglamento
110111A4_20,110111A4,mencion_reglamento
C9E1800E_4,C9E1800E,mencion_reglamento
C9E1800E_17,C9E1800E,mencion_reglamento
C9E1800E_20,C9E1800E,mencion_reglamento
C9E1800E_30,C9E1800E,mencion_reglamento
C9E1800E_30,C9E1800E,mencion_reglamento
C9E1800E_35,C9E1800E,mencion_reglamento
2911478C_4,2911478C,mencion_reglamento
BF2515FB_14,BF2515FB,mencion_reglamento
BF2515FB_14,BF2515FB,mencion_reglamento
BF2515FB_61,BF2515FB,mencion_reglamento
B6DF65EC_43,B6DF65EC,mencion_reglamento
2926363C_82,2926363C,mencion_reglamento
2827D88F_61QUINQUIES,2827D88F,mencion_reglamento
2827D88F_61SEXIES,2827D88F,mencion_reglamento
2827D88F_61SEPTIES,2827D88F,mencion_reglamento
53142DC1_6,53142DC1,mencion_reglamento
3EF48D25_12,3EF48D25,mencion_reglamento
3EF48D25_26,3EF48D25,mencion_reglamento
3EF48D25_31,3EF48D25,mencion_reglamento
3EF48D25_44,3EF48D25,mencion_reglamento
3EF48D25_45,3EF48D25,mencion_reglamento
3EF48D25_62,3EF48D25,mencion_reglamento
5EE74A4A_12,5EE74A4A,mencion_reglamento
5EE74A4A_12,5EE74A4A,mencion_reglamento
5EE74A4A_40,5EE74A4A,mencion_reglamento
5EE74A4A_47,5EE74A4A,mencion_reglamento
5EE74A4A_47,5EE74A4A,mencion_reglamento
9DCF2D5E_20,9DCF2D5E,mencion_reglamento
9DCF2D5E_21,9DCF2D5E,mencion_reglamento
9DCF2D5E_37,9DCF2D5E,mencion_reglamento
9DCF2D5E_37,9DCF2D5E,mencion_reglamento
D95CE77C_15,D95CE77C,mencion_reglamento
D95CE77C_117,D95CE77C,mencion_reglamento
D95CE77C_129,D95CE77C,mencion_reglamento
D95CE77C_130,D95CE77C,mencion_reglamento
D95CE77C_157,D95CE77C,mencion_reglamento
D95CE77C_162,D95CE77C,mencion_reglamento
D95CE77C_170,D95CE77C,mencion_reglamento
D95CE77C_170,D95CE77C,mencion_reglamento
71029770_51,71029770,mencion_reglamento
FFE8242A_9,FFE8242A,mencion_reglamento
FFE8242A_38,FFE8242A,mencion_reglamento
FFE8242A_47,FFE8242A,mencion_reglamento
FFE8242A_50,FFE8242A,mencion_reglamento
6C800A8E_4,6C800A8E,mencion_reglamento
36BD1180_8,36BD1180,mencion_reglamento
36BD1180_15,36BD1180,mencion_reglamento
36BD1180_16,36BD1180,mencion_reglamento
36BD1180_17,36BD1180,mencion_reglamento
36BD1180_18,36BD1180,mencion_reglamento
36BD1180_19,36BD1180,mencion_reglamento
36BD1180_20,36BD1180,mencion_reglamento
36BD1180_21,36BD1180,mencion_reglamento
36BD1180_41,36BD1180,mencion_reglamento
A4DE831B_30,A4DE831B,mencion_reglamento
A4DE831B_52,A4DE831B,mencion_reglamento
A4DE831B_119,A4DE831B,mencion_reglamento
A4DE831B_125,A4DE831B,mencion_reglamento
A582EA42_5,A582EA42,mencion_reglamento
A582EA42_21,A582EA42,mencion_reglamento
AF96B37C_23,AF96B37C,mencion_reglamento
AF96B37C_77,AF96B37C,mencion_reglamento
AF96B37C_85,AF96B37C,mencion_reglamento
AF96B37C_91,AF96B37C,mencion_reglamento
AF96B37C_129,AF96B37C,mencion_reglamento
AF96B37C_131,AF96B37C,mencion_reglamento
AF96B37C_159,AF96B37C,mencion_reglamento
AF96B37C_159,AF96B37C,mencion_reglamento
AF96B37C_175,AF96B37C,mencion_reglamento
