art_id,type_of_relation,art_id_buscar
55FBF591_1,auto_referencia_articulo,55FBF591_21
BF99723E_42,auto_referencia_articulo,BF99723E_1
D26A0A36_65,auto_referencia_articulo,D26A0A36_27
D26A0A36_65BIS,auto_referencia_articulo,D26A0A36_27
EC1CAFBE_21,auto_referencia_articulo,EC1CAFBE_9
EC1CAFBE_21,auto_referencia_articulo,EC1CAFBE_12
EC1CAFBE_21,auto_referencia_articulo,EC1CAFBE_6
EC1CAFBE_24,auto_referencia_articulo,EC1CAFBE_8
B598BEAE_56,auto_referencia_articulo,B598BEAE_80
3646DA69_1,auto_referencia_articulo,3646DA69_61
12DFAABB_66,auto_referencia_articulo,12DFAABB_57
B6DF65EC_61,auto_referencia_articulo,B6DF65EC_64
B6DF65EC_66,auto_referencia_articulo,B6DF65EC_64
BD51ADEF_11,auto_referencia_articulo,BD51ADEF_10
2926363C_29,auto_referencia_articulo,2926363C_8
D2CE6E11_54,auto_referencia_articulo,D2CE6E11_214
35C270ED_266,auto_referencia_articulo,35C270ED_96
35C270ED_298,auto_referencia_articulo,35C270ED_96
35C270ED_338,auto_referencia_articulo,35C270ED_310
35C270ED_449,auto_referencia_articulo,35C270ED_2
35C270ED_452,auto_referencia_articulo,35C270ED_2
35C270ED_453,auto_referencia_articulo,35C270ED_569
35C270ED_544,auto_referencia_articulo,35C270ED_2
35C270ED_737H,auto_referencia_articulo,35C270ED_95
35C270ED_781,auto_referencia_articulo,35C270ED_1
35C270ED_790,auto_referencia_articulo,35C270ED_1
35C270ED_798,auto_referencia_articulo,35C270ED_1
35C270ED_830S,auto_referencia_articulo,35C270ED_1
35C270ED_834S,auto_referencia_articulo,35C270ED_1
35C270ED_835S,auto_referencia_articulo,35C270ED_1
35C270ED_841D,auto_referencia_articulo,35C270ED_1
35C270ED_910,auto_referencia_articulo,35C270ED_538
35C270ED_1068,auto_referencia_articulo,35C270ED_1060
35C270ED_1069,auto_referencia_articulo,35C270ED_342
CE7E985D_77,auto_referencia_articulo,CE7E985D_38
D95CE77C_1,auto_referencia_articulo,D95CE77C_17
FAA2EE90_121,auto_referencia_articulo,FAA2EE90_61TER
CEF5E63A_61,auto_referencia_articulo,CEF5E63A_33
E8F2DF9A_12,auto_referencia_articulo,E8F2DF9A_22
E8F2DF9A_102,auto_referencia_articulo,E8F2DF9A_36BIS
0FC021B6_14,auto_referencia_articulo,0FC021B6_17
0FC021B6_24,auto_referencia_articulo,0FC021B6_6
8D43A2CC_69,auto_referencia_articulo,8D43A2CC_87
8D43A2CC_73,auto_referencia_articulo,8D43A2CC_87
AB78FCA2_41,auto_referencia_articulo,AB78FCA2_43
A4DE831B_144,auto_referencia_articulo,A4DE831B_16
6D0C4493_4,auto_referencia_articulo,6D0C4493_21
6D0C4493_4,auto_referencia_articulo,6D0C4493_4
6D0C4493_5,auto_referencia_articulo,6D0C4493_18
6D0C4493_7,auto_referencia_articulo,6D0C4493_22
6D0C4493_30,auto_referencia_articulo,6D0C4493_19
6D0C4493_30,auto_referencia_articulo,6D0C4493_119
6D0C4493_39,auto_referencia_articulo,6D0C4493_18
6D0C4493_63,auto_referencia_articulo,6D0C4493_7
6D0C4493_82,auto_referencia_articulo,6D0C4493_18
6D0C4493_120,auto_referencia_articulo,6D0C4493_18
6D0C4493_122,auto_referencia_articulo,6D0C4493_40
6D0C4493_123,auto_referencia_articulo,6D0C4493_52
6D0C4493_125,auto_referencia_articulo,6D0C4493_105
6D0C4493_159,auto_referencia_articulo,6D0C4493_43
6D0C4493_159,auto_referencia_articulo,6D0C4493_44
6D0C4493_159,auto_referencia_articulo,6D0C4493_156
6D0C4493_173,auto_referencia_articulo,6D0C4493_137
2833199A_3,auto_referencia_articulo,2833199A_3
2833199A_10,auto_referencia_articulo,2833199A_17
2833199A_32,auto_referencia_articulo,2833199A_17
2833199A_60,auto_referencia_articulo,2833199A_24
2833199A_65,auto_referencia_articulo,2833199A_70
2833199A_100,auto_referencia_articulo,2833199A_77
2833199A_100,auto_referencia_articulo,2833199A_84
5C7BA6A4_5,auto_referencia_articulo,5C7BA6A4_46
1D958C03_2,auto_referencia_articulo,1D958C03_5
1D958C03_2,auto_referencia_articulo,1D958C03_2
1D958C03_7,auto_referencia_articulo,1D958C03_2
1D958C03_15,auto_referencia_articulo,1D958C03_20
1D958C03_18,auto_referencia_articulo,1D958C03_15
1D958C03_32,auto_referencia_articulo,1D958C03_6
B0784E5D_2,auto_referencia_articulo,B0784E5D_1
B0784E5D_7,auto_referencia_articulo,B0784E5D_6
B0784E5D_17,auto_referencia_articulo,B0784E5D_252
3F66D749_3,auto_referencia_articulo,3F66D749_41
3F66D749_3,auto_referencia_articulo,3F66D749_442
3F66D749_15,auto_referencia_articulo,3F66D749_134
3F66D749_23,auto_referencia_articulo,3F66D749_24
3F66D749_25,auto_referencia_articulo,3F66D749_23
3F66D749_26,auto_referencia_articulo,3F66D749_24
3F66D749_26,auto_referencia_articulo,3F66D749_27
3F66D749_49,auto_referencia_articulo,3F66D749_124
3F66D749_72,auto_referencia_articulo,3F66D749_62
3F66D749_101QUATER,auto_referencia_articulo,3F66D749_77
3F66D749_114BIS,auto_referencia_articulo,3F66D749_27
3F66D749_114BIS,auto_referencia_articulo,3F66D749_114
3F66D749_119,auto_referencia_articulo,3F66D749_116
3F66D749_119,auto_referencia_articulo,3F66D749_27
3F66D749_132,auto_referencia_articulo,3F66D749_98
3F66D749_139,auto_referencia_articulo,3F66D749_93
3F66D749_140,auto_referencia_articulo,3F66D749_105
3F66D749_196,auto_referencia_articulo,3F66D749_194
3F66D749_217,auto_referencia_articulo,3F66D749_113
50BEA374_41,auto_referencia_articulo,50BEA374_40
50BEA374_58,auto_referencia_articulo,50BEA374_40
50BEA374_61,auto_referencia_articulo,50BEA374_59
50BEA374_68,auto_referencia_articulo,50BEA374_67
50BEA374_72,auto_referencia_articulo,50BEA374_70
50BEA374_74,auto_referencia_articulo,50BEA374_68
660CBA22_6,auto_referencia_articulo,660CBA22_80
660CBA22_9,auto_referencia_articulo,660CBA22_18
660CBA22_14,auto_referencia_articulo,660CBA22_10
660CBA22_14,auto_referencia_articulo,660CBA22_578
660CBA22_15,auto_referencia_articulo,660CBA22_95
660CBA22_34,auto_referencia_articulo,660CBA22_105
