doc_id_reg,type_of_relation,doc_id_law
074D9AE3,es_reglamento_de,D98C29E5
06E7C92B,es_reglamento_de,06E7C92B
C5D0884D,es_reglamento_de,D271060E
4CD5A9D8,es_reglamento_de,3507440C
B6D535C2,es_reglamento_de,38C8DC5A
84809D79,es_reglamento_de,38C8DC5A
1DB1F092,es_reglamento_de,5D193F47
823A76B8,es_reglamento_de,C387735C
680FAEE5,es_reglamento_de,680FAEE5
E797DFCB,es_reglamento_de,8178736B
AA3CA95C,es_reglamento_de,8746E1B1
1243D741,es_reglamento_de,5618C711
B62DEE2E,es_reglamento_de,A8C11A3A
0391446D,es_reglamento_de,3148910F
AFBD051D,es_reglamento_de,3148910F
7C4FDAE1,es_reglamento_de,3148910F
F1607746,es_reglamento_de,3148910F
97D17B10,es_reglamento_de,3148910F
AC608F11,es_reglamento_de,3148910F
7104FB9A,es_reglamento_de,3148910F
AA08FC2C,es_reglamento_de,3148910F
9C76FBCF,es_reglamento_de,3148910F
761B96F3,es_reglamento_de,6CBDC143
8BAD52CE,es_reglamento_de,486F42AC
6409E4C2,es_reglamento_de,2206FDB4
2EC5C485,es_reglamento_de,625304FF
CE66705F,es_reglamento_de,625304FF
01DE65B8,es_reglamento_de,625304FF
02D229FB,es_reglamento_de,625304FF
728D2B27,es_reglamento_de,625304FF
842F6D6D,es_reglamento_de,625304FF
58EA4A12,es_reglamento_de,3148910F
0804C24C,es_reglamento_de,3148910F
D76758C4,es_reglamento_de,3148910F
CCE573FD,es_reglamento_de,3148910F
1925D305,es_reglamento_de,3148910F
8A2CFD88,es_reglamento_de,3148910F
DF84ECFB,es_reglamento_de,2AFB90B4
4DF266D0,es_reglamento_de,4DF266D0
29672010,es_reglamento_de,54A7F2B0
1BC0DB71,es_reglamento_de,6DA0707B
7EB399BA,es_reglamento_de,C83B566C
A4B6F123,es_reglamento_de,E92FEED8
