art_id,entity_id,type_of_relation
B0784E5D_4,11A7BB35,mencion_entidad_gubernamental_oficial
B0784E5D_5,E2EEE4C1,mencion_entidad_gubernamental_oficial
B0784E5D_11,E2EEE4C1,mencion_entidad_gubernamental_oficial
B0784E5D_11,75DF8F56,mencion_entidad_gubernamental_oficial
B0784E5D_12,A71DB177,mencion_entidad_gubernamental_oficial
B0784E5D_16,E2EEE4C1,mencion_entidad_gubernamental_oficial
B0784E5D_22,6EA49C6C,mencion_entidad_gubernamental_oficial
B0784E5D_22,919DEC37,mencion_entidad_gubernamental_oficial
B0784E5D_24,6EA49C6C,mencion_entidad_gubernamental_oficial
3F66D749_1,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_1,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_1,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_1,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_1,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_1,14C01911,mencion_entidad_gubernamental_oficial
3F66D749_1,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_1,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_2,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_2,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_3,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_3,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_4,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_4,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_5,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_6,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_6,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_6,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_6,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_6,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_6,67107978,mencion_entidad_gubernamental_oficial
3F66D749_6,32A26AD3,mencion_entidad_gubernamental_oficial
3F66D749_6,32A26AD3,mencion_entidad_gubernamental_oficial
3F66D749_8,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_8,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_8,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_9,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_20,4344BA8B,mencion_entidad_gubernamental_oficial
3F66D749_22,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_22,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_26,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_28,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_28,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_39,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_46,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_60,47DEAC86,mencion_entidad_gubernamental_oficial
3F66D749_64,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_65,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_67,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_68,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_77,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_79,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_98,67107978,mencion_entidad_gubernamental_oficial
3F66D749_98,67107978,mencion_entidad_gubernamental_oficial
3F66D749_99,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_101BIS,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_101BIS,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_101TER,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_101QUATER,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_103,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_103,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_110,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_112,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_114,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_116,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_116,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_116,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_120,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_120,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_121,E2EEE4C1,mencion_entidad_gubernamental_oficial
3F66D749_121,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_121,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_122,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_122,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_123,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_124,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_126,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_126,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_126,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_126,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_127,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_128,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_128,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_128,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_128,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_128,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_128,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_129,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_130,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_130,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_130,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_132,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_133,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_133,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_140,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_140,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_140,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_140,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_140,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_140,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_140,172AA7AA,mencion_entidad_gubernamental_oficial
3F66D749_140,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_153,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_153,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_156,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_157,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_158,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_158,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_158,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_158,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_165,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_166,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_167,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_167,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_168,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_175,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_179,3F32FC52,mencion_entidad_gubernamental_oficial
3F66D749_200,14C01911,mencion_entidad_gubernamental_oficial
